Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2020,06/02,Kuskokwim River Sonar,Chum,,,No Data,Sonar
Kuskokwim River Sonar,,,2020,06/03,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/04,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/05,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/06,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/07,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/08,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/09,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/10,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/11,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/12,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/13,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/14,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/15,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/16,Kuskokwim River Sonar,Chum,432,432,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/17,Kuskokwim River Sonar,Chum,522,522,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/18,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/19,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/20,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/21,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/22,Kuskokwim River Sonar,Chum,238,238,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/23,Kuskokwim River Sonar,Chum,1612,1612,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/24,Kuskokwim River Sonar,Chum,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/25,Kuskokwim River Sonar,Chum,403,403,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/26,Kuskokwim River Sonar,Chum,596,596,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/27,Kuskokwim River Sonar,Chum,451,451,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/28,Kuskokwim River Sonar,Chum,2494,2494,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/29,Kuskokwim River Sonar,Chum,1635,1635,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/30,Kuskokwim River Sonar,Chum,1555,1555,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/01,Kuskokwim River Sonar,Chum,1543,1543,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/02,Kuskokwim River Sonar,Chum,1833,1833,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/03,Kuskokwim River Sonar,Chum,476,476,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/04,Kuskokwim River Sonar,Chum,2994,2994,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/05,Kuskokwim River Sonar,Chum,2961,2961,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/06,Kuskokwim River Sonar,Chum,4110,4110,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/07,Kuskokwim River Sonar,Chum,1564,1564,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/08,Kuskokwim River Sonar,Chum,1108,1108,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/09,Kuskokwim River Sonar,Chum,4667,4667,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/10,Kuskokwim River Sonar,Chum,4095,4095,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/11,Kuskokwim River Sonar,Chum,7378,7378,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/12,Kuskokwim River Sonar,Chum,3342,3342,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/13,Kuskokwim River Sonar,Chum,5630,5630,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/14,Kuskokwim River Sonar,Chum,7707,7707,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/15,Kuskokwim River Sonar,Chum,2321,2321,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/16,Kuskokwim River Sonar,Chum,690,690,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/17,Kuskokwim River Sonar,Chum,340,340,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/18,Kuskokwim River Sonar,Chum,606,606,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/19,Kuskokwim River Sonar,Chum,241,241,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/20,Kuskokwim River Sonar,Chum,1141,1141,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/21,Kuskokwim River Sonar,Chum,548,548,Calculated,Sonar
