Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Kuskokwim River Sonar,,,2020,06/16,Kuskokwim River Sonar,Sockeye,645,645,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/17,Kuskokwim River Sonar,Sockeye,860,860,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/18,Kuskokwim River Sonar,Sockeye,2564,2564,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/19,Kuskokwim River Sonar,Sockeye,6848,6848,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/20,Kuskokwim River Sonar,Sockeye,1717,1717,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/21,Kuskokwim River Sonar,Sockeye,6010,6010,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/22,Kuskokwim River Sonar,Sockeye,4727,4727,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/23,Kuskokwim River Sonar,Sockeye,4939,4939,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/24,Kuskokwim River Sonar,Sockeye,6782,6782,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/25,Kuskokwim River Sonar,Sockeye,8522,8522,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/26,Kuskokwim River Sonar,Sockeye,15447,15447,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/27,Kuskokwim River Sonar,Sockeye,16591,16591,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/28,Kuskokwim River Sonar,Sockeye,22166,22166,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/29,Kuskokwim River Sonar,Sockeye,19758,19758,Calculated,Sonar
Kuskokwim River Sonar,,,2020,06/30,Kuskokwim River Sonar,Sockeye,23412,23412,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/01,Kuskokwim River Sonar,Sockeye,20663,20663,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/02,Kuskokwim River Sonar,Sockeye,19987,19987,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/03,Kuskokwim River Sonar,Sockeye,19758,19758,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/04,Kuskokwim River Sonar,Sockeye,30770,30770,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/05,Kuskokwim River Sonar,Sockeye,23932,23932,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/06,Kuskokwim River Sonar,Sockeye,29620,29620,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/07,Kuskokwim River Sonar,Sockeye,19051,19051,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/08,Kuskokwim River Sonar,Sockeye,12520,12520,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/09,Kuskokwim River Sonar,Sockeye,17302,17302,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/10,Kuskokwim River Sonar,Sockeye,21025,21025,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/11,Kuskokwim River Sonar,Sockeye,31468,31468,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/12,Kuskokwim River Sonar,Sockeye,30888,30888,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/13,Kuskokwim River Sonar,Sockeye,20554,20554,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/14,Kuskokwim River Sonar,Sockeye,35928,35928,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/15,Kuskokwim River Sonar,Sockeye,22046,22046,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/16,Kuskokwim River Sonar,Sockeye,11393,11393,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/17,Kuskokwim River Sonar,Sockeye,8272,8272,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/18,Kuskokwim River Sonar,Sockeye,13285,13285,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/19,Kuskokwim River Sonar,Sockeye,5116,5116,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/20,Kuskokwim River Sonar,Sockeye,4101,4101,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/21,Kuskokwim River Sonar,Sockeye,3583,3583,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/22,Kuskokwim River Sonar,Sockeye,3318,3318,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/23,Kuskokwim River Sonar,Sockeye,2327,2327,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/24,Kuskokwim River Sonar,Sockeye,832,832,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/25,Kuskokwim River Sonar,Sockeye,2198,2198,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/26,Kuskokwim River Sonar,Sockeye,2209,2209,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/27,Kuskokwim River Sonar,Sockeye,2317,2317,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/28,Kuskokwim River Sonar,Sockeye,1610,1610,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/29,Kuskokwim River Sonar,Sockeye,0,0,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/30,Kuskokwim River Sonar,Sockeye,153,153,Calculated,Sonar
Kuskokwim River Sonar,,,2020,07/31,Kuskokwim River Sonar,Sockeye,649,649,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/01,Kuskokwim River Sonar,Sockeye,1260,1260,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/02,Kuskokwim River Sonar,Sockeye,2300,2300,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/03,Kuskokwim River Sonar,Sockeye,551,551,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/04,Kuskokwim River Sonar,Sockeye,1157,1157,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/05,Kuskokwim River Sonar,Sockeye,444,444,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/06,Kuskokwim River Sonar,Sockeye,391,391,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/07,Kuskokwim River Sonar,Sockeye,1292,1292,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/08,Kuskokwim River Sonar,Sockeye,427,427,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/09,Kuskokwim River Sonar,Sockeye,257,257,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/10,Kuskokwim River Sonar,Sockeye,442,442,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/11,Kuskokwim River Sonar,Sockeye,871,871,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/12,Kuskokwim River Sonar,Sockeye,502,502,Calculated,Sonar
Kuskokwim River Sonar,,,2020,08/13,Kuskokwim River Sonar,Sockeye,380,380,Calculated,Sonar
